,Patterns,Support
0,"('Team leader ',)",0.5112781954887218
1,"('Gender ',)",0.48621553884711777
2,"('Time in current department ',)",0.4237867395762132
3,"('Employment period ',)",0.491755705052104
4,"('Communicative ',)",0.5238095238095238
5,"('Member of professional organizations ',)",0.487468671679198
6,"('SQL Server ',)",0.4649122807017544
7,"('Fast working',)",0.506265664160401
8,"('PHP mySQL ',)",0.4774436090225564
9,"('.Net ',)",0.4699248120300752
10,"('Age ',)",0.5268008731506185
11,"('HTML CSS Java Script ',)",0.5050125313283208
12,"('Awards',)",0.5025062656641605
13,"('HTML CSS Java Script ', 'Employment period ')",0.25946445060018464
14,"('HTML CSS Java Script ', 'Communicative ')",0.2606516290726817
15,"('HTML CSS Java Script ', 'Age ')",0.2621068801034845
16,"('HTML CSS Java Script ', 'Fast working')",0.2531328320802005
17,"('Time in current department ', 'Employment period ')",0.25241932582652804
18,"('Gender ', 'Team leader ')",0.2581453634085213
19,"('Gender ', 'Age ')",0.2563262996200178
20,"('Gender ', 'Awards')",0.2543859649122807
21,"('Team leader ', 'Communicative ')",0.3007518796992481
22,"('Team leader ', 'Age ')",0.26655348047538197
23,"('Team leader ', 'Fast working')",0.2606516290726817
24,"('Team leader ', 'Awards')",0.2593984962406015
25,"('Employment period ', 'Age ')",0.2706852019692695
26,"('Employment period ', 'Fast working')",0.25418810183353124
27,"('Employment period ', 'Awards')",0.25280306028228466
28,"('Communicative ', 'Member of professional organizations ')",0.2556390977443609
29,"('Communicative ', 'PHP mySQL ')",0.2518796992481203
30,"('Communicative ', 'Age ')",0.27609345945508934
31,"('Communicative ', 'Fast working')",0.2568922305764411
32,"('Communicative ', 'Awards')",0.2556390977443609
33,"('Member of professional organizations ', 'Awards')",0.2506265664160401
34,"('PHP mySQL ', 'Age ')",0.2528094429622443
35,"('PHP mySQL ', 'Fast working')",0.2556390977443609
36,"('Age ', 'Fast working')",0.271970248201148
37,"('Age ', 'Awards')",0.2707171153690678
38,"('Fast working', 'Awards')",0.2518796992481203
